input_file,window_index,window_time_s,mean_power,rms_amplitude,crest_factor,spectral_centroid_hz,spectral_spread_hz,occupied_bandwidth_hz,spectral_entropy,spectral_flatness,peak_frequency_hz,phase_diff_std,cluster_label
drone_sample_iq.dat,35,0.073728,0.704983,0.839632,2.179419,147883.735677,116906.534673,891357.421875,0.299776,0.051128,111328.125000,0.952640,2
drone_sample_iq.dat,36,0.075776,0.752547,0.867495,2.085415,149133.942351,117099.683771,898193.359375,0.297734,0.050745,111328.125000,0.951781,2
drone_sample_iq.dat,37,0.077824,0.803142,0.896182,2.133712,148733.232198,115056.514112,876708.984375,0.288513,0.046296,111328.125000,0.964204,2
drone_sample_iq.dat,38,0.079872,0.860013,0.927369,2.061956,150791.352581,112598.457116,876464.843750,0.285677,0.043089,111328.125000,0.947429,2
drone_sample_iq.dat,39,0.081920,0.915837,0.956994,2.051538,152584.937508,107379.936428,851318.359375,0.276841,0.039379,111328.125000,0.932180,2
drone_sample_iq.dat,40,0.083968,0.965423,0.982559,1.998158,152482.432470,106082.989655,839599.609375,0.274444,0.037079,111328.125000,0.924541,2
drone_sample_iq.dat,41,0.086016,1.013281,1.006618,1.970195,153084.089782,103977.976765,835449.218750,0.269047,0.035461,111328.125000,0.922859,2
drone_sample_iq.dat,42,0.088064,1.051300,1.025329,1.966507,154081.017701,104963.371671,847900.390625,0.268253,0.035801,111572.265625,0.930804,2
drone_sample_iq.dat,43,0.090112,0.794154,0.891153,2.262593,175080.297329,117347.891316,874755.859375,0.338302,0.050711,242675.781250,0.822390,2
drone_sample_iq.dat,44,0.092160,0.538267,0.733667,1.952280,207470.061405,130197.678455,916748.046875,0.265267,0.068751,242675.781250,0.448566,0
drone_sample_iq.dat,45,0.094208,0.559324,0.747880,1.904213,206874.887896,135235.964474,925781.250000,0.266586,0.070362,242675.781250,0.459561,0
drone_sample_iq.dat,46,0.096256,0.570871,0.755560,2.016063,208371.946843,128909.510396,911132.812500,0.259367,0.065689,242675.781250,0.454585,0
drone_sample_iq.dat,47,0.098304,0.587582,0.766539,1.987187,208511.284447,130067.693649,918212.890625,0.256390,0.065173,242675.781250,0.437344,0
drone_sample_iq.dat,48,0.100352,0.603620,0.776930,1.896190,211517.779462,121989.083596,899902.343750,0.247833,0.060038,242675.781250,0.411366,0
drone_sample_iq.dat,49,0.102400,0.623112,0.789374,2.006722,212819.954472,120551.177467,900390.625000,0.242776,0.058028,242431.640625,0.385984,0
drone_sample_iq.dat,50,0.104448,0.641632,0.801020,1.977549,213881.792024,119012.102430,903808.593750,0.238328,0.055157,242431.640625,0.378114,0
drone_sample_iq.dat,51,0.106496,0.652271,0.807633,2.131858,212099.791126,121940.189520,896484.375000,0.238049,0.056538,242431.640625,0.383403,0
drone_sample_iq.dat,52,0.108544,0.663006,0.814252,2.114528,213158.693951,120195.449523,893310.546875,0.242712,0.057608,242431.640625,0.388470,0
drone_sample_iq.dat,53,0.110592,0.680330,0.824821,1.782007,215080.827231,116211.421398,895507.812500,0.233447,0.052581,242431.640625,0.370820,0
drone_sample_iq.dat,54,0.112640,0.700652,0.837050,1.755973,215521.565233,114361.485837,891357.421875,0.230541,0.053613,242431.640625,0.359763,0
drone_sample_iq.dat,55,0.114688,0.704664,0.839442,1.745809,215710.780638,114212.359324,884033.203125,0.227070,0.051798,242431.640625,0.360847,0
drone_sample_iq.dat,56,0.116736,0.708826,0.841918,1.740676,216640.709013,114240.614871,892333.984375,0.226994,0.050296,242431.640625,0.358295,0
drone_sample_iq.dat,57,0.118784,0.813263,0.901811,2.261732,218422.201139,115263.871452,895019.531250,0.234633,0.051768,242187.500000,0.587582,0
drone_sample_iq.dat,58,0.120832,1.059346,1.029245,1.981700,283390.225742,125761.934285,826171.875000,0.278048,0.033103,242187.500000,0.947633,6
drone_sample_iq.dat,59,0.122880,1.215952,1.102702,1.797748,288475.551545,122207.779390,805664.062500,0.257484,0.029761,242187.500000,1.146035,6
drone_sample_iq.dat,60,0.124928,1.220354,1.104697,2.056431,287300.317569,124345.956698,811035.156250,0.259592,0.030511,242187.500000,1.164459,6
drone_sample_iq.dat,61,0.126976,1.211816,1.100825,2.063663,287114.840361,123719.413244,813232.421875,0.259806,0.031413,242187.500000,1.130693,6
drone_sample_iq.dat,62,0.129024,1.213788,1.101721,1.955168,287022.304100,123033.684825,820068.359375,0.258327,0.030947,242187.500000,1.095641,6
drone_sample_iq.dat,63,0.131072,1.216505,1.102953,1.851571,285677.548400,124190.785121,812500.000000,0.259900,0.031715,242187.500000,1.092662,6
drone_sample_iq.dat,64,0.133120,1.200791,1.095806,1.908592,287544.835334,122828.912410,801513.671875,0.259600,0.030641,242187.500000,1.091615,6
drone_sample_iq.dat,65,0.135168,1.182045,1.087219,1.923666,286880.177000,123954.032386,815917.968750,0.260696,0.031326,242187.500000,1.093954,6
drone_sample_iq.dat,66,0.137216,1.170030,1.081679,2.184180,285475.276041,125489.947659,827392.578125,0.261757,0.032277,242187.500000,1.128951,6
drone_sample_iq.dat,67,0.139264,1.147639,1.071279,2.205385,285377.200258,126579.792696,841064.453125,0.263333,0.033394,242187.500000,1.120990,6
drone_sample_iq.dat,68,0.141312,1.109197,1.053184,1.965662,285171.941982,128138.246691,827392.578125,0.265174,0.033521,242187.500000,1.128296,6
drone_sample_iq.dat,69,0.143360,1.087055,1.042619,1.944077,283837.435104,129305.344059,836914.062500,0.264217,0.033588,242187.500000,1.142162,6
drone_sample_iq.dat,70,0.145408,1.067917,1.033401,1.923783,284945.147778,129976.438597,831542.968750,0.267156,0.035519,241943.359375,1.144098,6
drone_sample_iq.dat,71,0.147456,1.032512,1.016126,1.956488,281933.051172,129914.733869,843750.000000,0.270505,0.036716,241943.359375,1.155144,6
drone_sample_iq.dat,72,0.149504,1.013587,1.006770,1.925255,282239.726284,130472.939729,840576.171875,0.271891,0.037113,241943.359375,1.172456,6
drone_sample_iq.dat,73,0.151552,0.992099,0.996042,1.956940,282412.199669,132192.909990,843261.718750,0.271949,0.036944,241943.359375,1.187913,6
drone_sample_iq.dat,74,0.153600,0.955182,0.977334,1.994398,282181.963283,132959.503393,837646.484375,0.275098,0.037799,241943.359375,1.194916,6
drone_sample_iq.dat,75,0.155648,0.926069,0.962325,1.994601,280082.546108,136336.003970,864501.953125,0.279266,0.041848,241943.359375,1.192278,6
drone_sample_iq.dat,76,0.157696,0.888570,0.942640,1.986116,280027.793927,136880.691321,871582.031250,0.283845,0.043484,241943.359375,1.177805,6
drone_sample_iq.dat,77,0.159744,0.663446,0.814522,2.270577,285341.388084,152398.452062,896240.234375,0.345853,0.055035,391601.562500,1.431797,6
drone_sample_iq.dat,78,0.161792,0.426565,0.653119,2.682988,315310.788658,192392.688640,935058.593750,0.314319,0.094389,391601.562500,1.643800,3
drone_sample_iq.dat,79,0.163840,0.377036,0.614032,2.000012,311275.601405,196842.738855,937500.000000,0.320443,0.095378,391601.562500,1.731755,3
drone_sample_iq.dat,80,0.165888,0.358649,0.598873,2.013886,309242.021408,198866.664689,949218.750000,0.324414,0.097652,391601.562500,1.791847,3
drone_sample_iq.dat,81,0.167936,0.349224,0.590952,2.040881,304970.637778,202139.386889,947021.484375,0.334384,0.104452,391601.562500,1.794697,3
drone_sample_iq.dat,82,0.169984,0.332708,0.576808,2.033942,300979.177674,205840.952083,944091.796875,0.347896,0.109889,391601.562500,1.822155,3
drone_sample_iq.dat,83,0.172032,0.313098,0.559551,2.104771,295718.590387,211709.924704,952636.718750,0.359473,0.114433,391601.562500,1.859778,3
drone_sample_iq.dat,84,0.174080,0.297898,0.545800,2.157800,286954.416068,219997.113348,955810.546875,0.378356,0.128091,391601.562500,1.905798,3
drone_sample_iq.dat,85,0.176128,0.278051,0.527305,2.194832,281157.942508,224146.999134,952392.578125,0.390645,0.132812,391601.562500,1.944632,3
drone_sample_iq.dat,86,0.178176,0.264579,0.514372,2.250017,278230.221764,225666.404196,953613.281250,0.399463,0.139734,391601.562500,1.966062,3
drone_sample_iq.dat,87,0.180224,0.252885,0.502877,2.277768,267825.399494,233937.770570,962890.625000,0.414914,0.149875,391601.562500,1.981449,3
drone_sample_iq.dat,88,0.182272,0.236238,0.486044,2.134057,261182.790498,236884.201128,962646.484375,0.436214,0.156872,391601.562500,2.001696,3
drone_sample_iq.dat,89,0.184320,0.223407,0.472660,2.274287,256555.306316,241342.956792,964355.468750,0.446030,0.165525,391357.421875,2.017542,3
drone_sample_iq.dat,90,0.186368,0.210857,0.459191,2.340995,243467.544104,248539.662995,961181.640625,0.466207,0.180871,391357.421875,2.009387,3
drone_sample_iq.dat,91,0.188416,0.198094,0.445078,2.321637,236309.717998,251691.207585,966308.593750,0.490720,0.193328,391357.421875,2.003407,3
